course_number,capacity,instructor,name,continous_timeslot
CS332,25,Tien Truong,Pseudo Course 114,1
CS333,25,Cuong Nguyen,Pseudo Course 115,1
CS334,25,Jill Pham,Pseudo Course 116,1
CS335,25,Vincent Hoang,Pseudo Course 117,1
ARTS110,50,John Le,Pseudo Course 118,0
ARTS111,50,Bruce Dang,Pseudo Course 119,0
ARTS112,50,David Bui,Pseudo Course 120,1
ARTS113,50,Linh Phan,Pseudo Course 121,0
ARTS114,50,Hoang Lee,Pseudo Course 122,1
ARTS115,50,Lan Hua,Pseudo Course 123,0
ARTS220,40,John Le,Pseudo Course 124,1
ARTS221,40,Bruce Dang,Pseudo Course 125,1
ARTS222,40,David Bui,Pseudo Course 126,0
ARTS223,40,Linh Phan,Pseudo Course 127,1
ARTS224,40,Hoang Lee,Pseudo Course 128,1
ARTS225,40,Lan Hua,Pseudo Course 129,0
ARTS330,25,John Le,Pseudo Course 130,1
ARTS331,25,Bruce Dang,Pseudo Course 131,0
ARTS332,25,David Bui,Pseudo Course 132,1
ARTS333,25,Linh Phan,Pseudo Course 133,1
ARTS334,25,Hoang Lee,Pseudo Course 134,1
ARTS335,25,Lan Hua,Pseudo Course 135,1
ECON110,50,Thomas Luong,Pseudo Course 136,1
ECON111,50,Ha Dinh,Pseudo Course 137,0
ECON112,50,Vinh Huynh,Pseudo Course 138,1
ECON113,50,Dan Nguyen,Pseudo Course 139,0
ECON114,50,Daniel Chu,Pseudo Course 140,0
ECON115,50,Richard Le,Pseudo Course 141,0
ECON220,40,Thomas Luong,Pseudo Course 142,0
ECON221,40,Ha Dinh,Pseudo Course 143,1
ECON222,40,Vinh Huynh,Pseudo Course 144,1
ECON223,40,Dan Nguyen,Pseudo Course 145,0
ECON224,40,Daniel Chu,Pseudo Course 146,0
ECON225,40,Richard Le,Pseudo Course 147,0
ECON330,25,Thomas Luong,Pseudo Course 148,1
ECON331,25,Ha Dinh,Pseudo Course 149,1
ECON332,25,Vinh Huynh,Pseudo Course 150,1
ECON333,25,Dan Nguyen,Pseudo Course 151,0
ECON334,25,Daniel Chu,Pseudo Course 152,0
ECON335,25,Richard Le,Pseudo Course 153,1
ENG110,50,Phuong Ho,Pseudo Course 154,0
ENG111,50,Khang Trinh,Pseudo Course 155,1
ENG112,50,Khanh Nguyen,Pseudo Course 156,0
ENG113,50,Huyen Pham,Pseudo Course 157,0
ENG114,50,Minh Phan,Pseudo Course 158,1
ENG115,50,Tyler Tran,Pseudo Course 159,0
ENG220,40,Phuong Ho,Pseudo Course 160,0
ENG221,40,Khang Trinh,Pseudo Course 161,1
ENG222,40,Khanh Nguyen,Pseudo Course 162,1
ENG223,40,Huyen Pham,Pseudo Course 163,1
ENG224,40,Minh Phan,Pseudo Course 164,1
ENG225,40,Tyler Tran,Pseudo Course 165,1
ENG330,25,Phuong Ho,Pseudo Course 166,0
ENG331,25,Khang Trinh,Pseudo Course 167,0
ENG332,25,Khanh Nguyen,Pseudo Course 168,1
ENG333,25,Huyen Pham,Pseudo Course 169,1
ENG334,25,Minh Phan,Pseudo Course 170,1
ENG335,25,Tyler Tran,Pseudo Course 171,0
MATH110,50,Anh Trinh,Pseudo Course 172,0
MATH111,50,Anh Hoang,Pseudo Course 173,1
MATH112,50,Trung Tran,Pseudo Course 174,1
MATH113,50,Lan Lee,Pseudo Course 175,1
MATH114,50,Ngoc Nguyen,Pseudo Course 176,0
MATH115,50,Vy Dang,Pseudo Course 177,0
MATH220,40,Anh Trinh,Pseudo Course 178,0
MATH221,40,Anh Hoang,Pseudo Course 179,1
MATH222,40,Trung Tran,Pseudo Course 180,1
MATH223,40,Lan Lee,Pseudo Course 181,1
MATH224,40,Ngoc Nguyen,Pseudo Course 182,0
MATH225,40,Vy Dang,Pseudo Course 183,1
MATH330,25,Anh Trinh,Pseudo Course 184,0
MATH331,25,Anh Hoang,Pseudo Course 185,1
MATH332,25,Trung Tran,Pseudo Course 186,0
MATH333,25,Lan Lee,Pseudo Course 187,1
MATH334,25,Ngoc Nguyen,Pseudo Course 188,1
MATH335,25,Vy Dang,Pseudo Course 189,1
HIS110,50,An Nguyen,Pseudo Course 190,0
HIS111,50,Quoc Nguyen,Pseudo Course 191,0
HIS112,50,Gia Huynh,Pseudo Course 192,0
HIS113,50,Khoa Le,Pseudo Course 193,1
HIS114,50,Nhat Le,Pseudo Course 194,1
HIS115,50,Bao Tran,Pseudo Course 195,1
HIS220,40,An Nguyen,Pseudo Course 196,0
HIS221,40,Quoc Nguyen,Pseudo Course 197,0
HIS222,40,Gia Huynh,Pseudo Course 198,0
HIS223,40,Khoa Le,Pseudo Course 199,1
HIS224,40,Nhat Le,Pseudo Course 200,1
HIS225,40,Bao Tran,Pseudo Course 201,1
HIS330,25,An Nguyen,Pseudo Course 202,1
HIS331,25,Quoc Nguyen,Pseudo Course 203,0
HIS332,25,Gia Huynh,Pseudo Course 204,0
HIS333,25,Khoa Le,Pseudo Course 205,1
HIS334,25,Nhat Le,Pseudo Course 206,0
HIS335,25,Bao Tran,Pseudo Course 207,1
IS110,50,Minh Lai,Pseudo Course 208,0
IS111,50,Ha Tran,Pseudo Course 209,1
IS112,50,Thanh Le,Pseudo Course 210,1
IS113,50,Bao Chu,Pseudo Course 211,0
IS114,50,Linh Tang,Pseudo Course 212,1
IS115,50,Nhat Truong,Pseudo Course 213,1
IS220,40,Minh Lai,Pseudo Course 214,0
IS221,40,Ha Tran,Pseudo Course 215,1
IS222,40,Thanh Le,Pseudo Course 216,0
IS223,40,Bao Chu,Pseudo Course 217,1
IS224,40,Linh Tang,Pseudo Course 218,1
IS225,40,Nhat Truong,Pseudo Course 219,1
IS330,25,Minh Lai,Pseudo Course 220,1
IS331,25,Ha Tran,Pseudo Course 221,1
IS332,25,Thanh Le,Pseudo Course 222,0
IS333,25,Bao Chu,Pseudo Course 223,1
IS334,25,Linh Tang,Pseudo Course 224,0
IS335,25,Nhat Truong,Pseudo Course 225,0
LIT110,50,Tuan Ha,Pseudo Course 226,0
LIT111,50,Hung Dang,Pseudo Course 227,0
LIT112,50,Shyn Nguyen,Pseudo Course 228,1
LIT113,50,Long Tran,Pseudo Course 229,1
LIT114,50,Dong Nguyen,Pseudo Course 230,0
LIT115,50,Toan Nguyen,Pseudo Course 231,0
LIT220,40,Tuan Ha,Pseudo Course 232,0
LIT221,40,Hung Dang,Pseudo Course 233,1
LIT222,40,Shyn Nguyen,Pseudo Course 234,1
LIT223,40,Long Tran,Pseudo Course 235,1
LIT224,40,Dong Nguyen,Pseudo Course 236,0
LIT225,40,Toan Nguyen,Pseudo Course 237,0
LIT330,25,Tuan Ha,Pseudo Course 238,1
LIT331,25,Hung Dang,Pseudo Course 239,0
LIT332,25,Shyn Nguyen,Pseudo Course 240,1
LIT333,25,Long Tran,Pseudo Course 241,0
LIT334,25,Dong Nguyen,Pseudo Course 242,0
LIT335,25,Toan Nguyen,Pseudo Course 243,1
PSY110,50,Phuoc Le,Pseudo Course 244,0
PSY111,50,Loan Do,Pseudo Course 245,0
PSY112,50,Tony Pham,Pseudo Course 246,1
PSY113,50,Steve Wayne,Pseudo Course 247,1
PSY114,50,Chris Rogers,Pseudo Course 248,1
PSY115,50,Henry Law,Pseudo Course 249,1
PSY220,40,Phuoc Le,Pseudo Course 250,1
PSY221,40,Loan Do,Pseudo Course 251,0
PSY222,40,Tony Pham,Pseudo Course 252,0
PSY223,40,Steve Wayne,Pseudo Course 253,1
PSY224,40,Chris Rogers,Pseudo Course 254,1
PSY225,40,Henry Law,Pseudo Course 255,1
PSY330,25,Phuoc Le,Pseudo Course 256,0
PSY331,25,Loan Do,Pseudo Course 257,0
PSY332,25,Tony Pham,Pseudo Course 258,1
PSY333,25,Steve Wayne,Pseudo Course 259,1
PSY334,25,Chris Rogers,Pseudo Course 260,1
PSY335,25,Henry Law,Pseudo Course 261,0
SOCI110,50,Marshall Rain,Pseudo Course 262,0
SOCI111,50,Jack Barnes,Pseudo Course 263,0
SOCI112,50,Johnny Lake,Pseudo Course 264,1
SOCI113,50,Sharon Wilson,Pseudo Course 265,1
SOCI114,50,Natasha Morita,Pseudo Course 266,1
SOCI115,50,Elizabeth Rhodes,Pseudo Course 267,0
SOCI220,40,Marshall Rain,Pseudo Course 268,1
SOCI221,40,Jack Barnes,Pseudo Course 269,0
SOCI222,40,Johnny Lake,Pseudo Course 270,1
SOCI223,40,Sharon Wilson,Pseudo Course 271,0
SOCI224,40,Natasha Morita,Pseudo Course 272,1
SOCI225,40,Elizabeth Rhodes,Pseudo Course 273,1
SOCI330,25,Marshall Rain,Pseudo Course 274,1
SOCI331,25,Jack Barnes,Pseudo Course 275,0
SOCI332,25,Johnny Lake,Pseudo Course 276,0
SOCI333,25,Sharon Wilson,Pseudo Course 277,0
SOCI334,25,Natasha Morita,Pseudo Course 278,1
SOCI335,25,Elizabeth Rhodes,Pseudo Course 279,1
VS110,50,Wendy Singh,Pseudo Course 280,1
VS111,50,June Agutter,Pseudo Course 281,0
VS112,50,Robert Stan,Pseudo Course 282,0
VS113,50,Toby Cooper,Pseudo Course 283,0
VS114,50,Dominic Coleman,Pseudo Course 284,1
VS115,50,Andy Mackie,Pseudo Course 285,1
VS220,40,Wendy Singh,Pseudo Course 286,1
VS221,40,June Agutter,Pseudo Course 287,1
VS222,40,Robert Stan,Pseudo Course 288,0
VS223,40,Toby Cooper,Pseudo Course 289,0
VS224,40,Dominic Coleman,Pseudo Course 290,1
VS225,40,Andy Mackie,Pseudo Course 291,0
VS330,25,Wendy Singh,Pseudo Course 292,1
VS331,25,June Agutter,Pseudo Course 293,0
VS332,25,Robert Stan,Pseudo Course 294,1
VS333,25,Toby Cooper,Pseudo Course 295,1
VS334,25,Dominic Coleman,Pseudo Course 296,0
VS335,25,Andy Mackie,Pseudo Course 297,1
ARTS140,50,John Le,Pseudo Course 298,1
ARTS141,50,Bruce Dang,Pseudo Course 299,0
ARTS142,50,David Bui,Pseudo Course 300,1
ARTS143,50,Linh Phan,Pseudo Course 301,0
ARTS144,50,Hoang Lee,Pseudo Course 302,1
ARTS145,50,Lan Hua,Pseudo Course 303,1
ARTS250,40,John Le,Pseudo Course 304,1
ARTS251,40,Bruce Dang,Pseudo Course 305,1
ARTS252,40,David Bui,Pseudo Course 306,1
ARTS253,40,Linh Phan,Pseudo Course 307,0
ARTS254,40,Hoang Lee,Pseudo Course 308,1
ARTS255,40,Lan Hua,Pseudo Course 309,0
ARTS360,25,John Le,Pseudo Course 310,0
ARTS361,25,Bruce Dang,Pseudo Course 311,0
ARTS362,25,David Bui,Pseudo Course 312,0
ARTS363,25,Linh Phan,Pseudo Course 313,1
ARTS364,25,Hoang Lee,Pseudo Course 314,1
ARTS365,25,Lan Hua,Pseudo Course 315,0
ECON140,50,Thomas Luong,Pseudo Course 316,0
ECON141,50,Ha Dinh,Pseudo Course 317,0
ECON142,50,Vinh Huynh,Pseudo Course 318,1
ECON143,50,Dan Nguyen,Pseudo Course 319,1
ECON144,50,Daniel Chu,Pseudo Course 320,1
ECON145,50,Richard Le,Pseudo Course 321,0
ECON250,40,Thomas Luong,Pseudo Course 322,0
ECON251,40,Ha Dinh,Pseudo Course 323,1
ECON252,40,Vinh Huynh,Pseudo Course 324,0
ECON253,40,Dan Nguyen,Pseudo Course 325,1
ECON254,40,Daniel Chu,Pseudo Course 326,0
ECON255,40,Richard Le,Pseudo Course 327,0
ECON360,25,Thomas Luong,Pseudo Course 328,1
ECON361,25,Ha Dinh,Pseudo Course 329,0
ECON362,25,Vinh Huynh,Pseudo Course 330,0
ECON363,25,Dan Nguyen,Pseudo Course 331,1
ECON364,25,Daniel Chu,Pseudo Course 332,1
ECON365,25,Richard Le,Pseudo Course 333,1
ENG140,50,Phuong Ho,Pseudo Course 334,1
ENG141,50,Khang Trinh,Pseudo Course 335,1
ENG142,50,Khanh Nguyen,Pseudo Course 336,0
ENG143,50,Huyen Pham,Pseudo Course 337,0
ENG144,50,Minh Phan,Pseudo Course 338,1
ENG145,50,Tyler Tran,Pseudo Course 339,1
ENG360,25,Phuong Ho,Pseudo Course 340,1
ENG361,25,Khang Trinh,Pseudo Course 341,0
ENG362,25,Khanh Nguyen,Pseudo Course 342,0
ENG363,25,Huyen Pham,Pseudo Course 343,1
ENG364,25,Minh Phan,Pseudo Course 344,1
ENG365,25,Tyler Tran,Pseudo Course 345,1
ENG360,25,Phuong Ho,Pseudo Course 346,0
ENG361,25,Khang Trinh,Pseudo Course 347,0
ENG362,25,Khanh Nguyen,Pseudo Course 348,0
ENG363,25,Huyen Pham,Pseudo Course 349,1
ENG364,25,Minh Phan,Pseudo Course 350,1
ENG365,25,Tyler Tran,Pseudo Course 351,1
MATH140,50,Anh Trinh,Pseudo Course 352,0
MATH141,50,Anh Hoang,Pseudo Course 353,1
MATH142,50,Trung Tran,Pseudo Course 354,0
MATH143,50,Lan Lee,Pseudo Course 355,1
MATH144,50,Ngoc Nguyen,Pseudo Course 356,0
MATH145,50,Vy Dang,Pseudo Course 357,1
MATH360,25,Anh Trinh,Pseudo Course 358,1
MATH361,25,Anh Hoang,Pseudo Course 359,1
MATH362,25,Trung Tran,Pseudo Course 360,0
MATH363,25,Lan Lee,Pseudo Course 361,0
MATH364,25,Ngoc Nguyen,Pseudo Course 362,0
MATH365,25,Vy Dang,Pseudo Course 363,1
MATH360,25,Anh Trinh,Pseudo Course 364,1
MATH361,25,Anh Hoang,Pseudo Course 365,1
MATH362,25,Trung Tran,Pseudo Course 366,0
MATH363,25,Lan Lee,Pseudo Course 367,0
MATH364,25,Ngoc Nguyen,Pseudo Course 368,0
MATH365,25,Vy Dang,Pseudo Course 369,1
HIS140,50,An Nguyen,Pseudo Course 370,1
HIS141,50,Quoc Nguyen,Pseudo Course 371,1
HIS142,50,Gia Huynh,Pseudo Course 372,1
HIS143,50,Khoa Le,Pseudo Course 373,0
HIS144,50,Nhat Le,Pseudo Course 374,0
HIS145,50,Bao Tran,Pseudo Course 375,1
HIS360,25,An Nguyen,Pseudo Course 376,0
HIS361,25,Quoc Nguyen,Pseudo Course 377,1
HIS362,25,Gia Huynh,Pseudo Course 378,0
HIS363,25,Khoa Le,Pseudo Course 379,1
HIS364,25,Nhat Le,Pseudo Course 380,1
HIS365,25,Bao Tran,Pseudo Course 381,0
IS140,50,Minh Lai,Pseudo Course 382,1
IS141,50,Ha Tran,Pseudo Course 383,1
IS142,50,Thanh Le,Pseudo Course 384,0
IS143,50,Bao Chu,Pseudo Course 385,1
IS144,50,Linh Tang,Pseudo Course 386,0
IS145,50,Nhat Truong,Pseudo Course 387,1
IS360,25,Minh Lai,Pseudo Course 388,1
IS361,25,Ha Tran,Pseudo Course 389,1
IS362,25,Thanh Le,Pseudo Course 390,1
IS363,25,Bao Chu,Pseudo Course 391,1
IS364,25,Linh Tang,Pseudo Course 392,0
IS365,25,Nhat Truong,Pseudo Course 393,1
LIT140,50,Tuan Ha,Pseudo Course 394,0
LIT141,50,Hung Dang,Pseudo Course 395,0
LIT142,50,Shyn Nguyen,Pseudo Course 396,0
LIT143,50,Long Tran,Pseudo Course 397,0
LIT144,50,Dong Nguyen,Pseudo Course 398,1
LIT145,50,Toan Nguyen,Pseudo Course 399,1
LIT360,25,Tuan Ha,Pseudo Course 400,0
LIT361,25,Hung Dang,Pseudo Course 401,0
LIT362,25,Shyn Nguyen,Pseudo Course 402,0
LIT363,25,Long Tran,Pseudo Course 403,1
LIT364,25,Dong Nguyen,Pseudo Course 404,1
LIT365,25,Toan Nguyen,Pseudo Course 405,1
PSY140,50,Phuoc Le,Pseudo Course 406,0
PSY141,50,Loan Do,Pseudo Course 407,0
PSY142,50,Tony Pham,Pseudo Course 408,1
PSY143,50,Steve Wayne,Pseudo Course 409,0
PSY144,50,Chris Rogers,Pseudo Course 410,1
PSY145,50,Henry Law,Pseudo Course 411,0
PSY360,25,Phuoc Le,Pseudo Course 412,0
PSY361,25,Loan Do,Pseudo Course 413,1
PSY362,25,Tony Pham,Pseudo Course 414,0
PSY363,25,Steve Wayne,Pseudo Course 415,0
PSY364,25,Chris Rogers,Pseudo Course 416,1
PSY365,25,Henry Law,Pseudo Course 417,1
SOCI140,50,Marshall Rain,Pseudo Course 418,1
SOCI141,50,Jack Barnes,Pseudo Course 419,1
SOCI142,50,Johnny Lake,Pseudo Course 420,1
SOCI143,50,Sharon Wilson,Pseudo Course 421,0
SOCI144,50,Natasha Morita,Pseudo Course 422,0
SOCI145,50,Elizabeth Rhodes,Pseudo Course 423,1
SOCI360,25,Marshall Rain,Pseudo Course 424,1
SOCI361,25,Jack Barnes,Pseudo Course 425,1
SOCI362,25,Johnny Lake,Pseudo Course 426,0
SOCI363,25,Sharon Wilson,Pseudo Course 427,0
SOCI364,25,Natasha Morita,Pseudo Course 428,1
SOCI365,25,Elizabeth Rhodes,Pseudo Course 429,1
VS140,50,Wendy Singh,Pseudo Course 430,1
VS141,50,June Agutter,Pseudo Course 431,0
VS142,50,Robert Stan,Pseudo Course 432,0
VS143,50,Toby Cooper,Pseudo Course 433,0
VS144,50,Dominic Coleman,Pseudo Course 434,1
VS145,50,Andy Mackie,Pseudo Course 435,1
VS360,25,Wendy Singh,Pseudo Course 436,1
VS361,25,June Agutter,Pseudo Course 437,0
VS362,25,Robert Stan,Pseudo Course 438,1
VS363,25,Toby Cooper,Pseudo Course 439,0
VS364,25,Dominic Coleman,Pseudo Course 440,1
VS365,25,Andy Mackie,Pseudo Course 441,0
CS140,50,Sebastian Vu,Pseudo Course 442,1
CS141,50,Nanette Le,Pseudo Course 443,1
CS142,50,Tien Truong,Pseudo Course 444,1
CS143,50,Cuong Nguyen,Pseudo Course 445,0
CS144,50,Jill Pham,Pseudo Course 446,0
CS145,50,Vincent Hoang,Pseudo Course 447,0
CS360,25,Sebastian Vu,Pseudo Course 448,1
CS361,25,Nanette Le,Pseudo Course 449,1
CS362,25,Tien Truong,Pseudo Course 450,1
CS363,25,Cuong Nguyen,Pseudo Course 451,0
CS364,25,Jill Pham,Pseudo Course 452,0
CS365,25,Vincent Hoang,Pseudo Course 453,0
